 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 20, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Deuterium in Tantalum.txt

 Ion = Hydrogen [1] , Mass = 2.0141 amu

 Target Density =  1.6601E+01 g/cm3 = 5.5248E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ta     73    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 800.00 keV   1.578E+02  2.459E-01    4.03 um     5780 A      7720 A   
 900.00 keV   1.516E+02  2.242E-01    4.65 um     6221 A      8503 A   
   1.00 MeV   1.460E+02  2.064E-01    5.28 um     6665 A      9304 A   
   1.10 MeV   1.409E+02  1.914E-01    5.95 um     7113 A      1.01 um  
   1.20 MeV   1.362E+02  1.786E-01    6.63 um     7566 A      1.10 um  
   1.30 MeV   1.319E+02  1.676E-01    7.35 um     8024 A      1.18 um  
   1.40 MeV   1.279E+02  1.579E-01    8.09 um     8488 A      1.27 um  
   1.50 MeV   1.242E+02  1.494E-01    8.85 um     8957 A      1.36 um  
   1.60 MeV   1.208E+02  1.418E-01    9.63 um     9433 A      1.45 um  
   1.70 MeV   1.175E+02  1.350E-01   10.44 um     9915 A      1.54 um  
   1.80 MeV   1.145E+02  1.289E-01   11.27 um     1.04 um     1.63 um  
   2.00 MeV   1.089E+02  1.183E-01   12.99 um     1.15 um     1.83 um  
   2.25 MeV   1.037E+02  1.074E-01   15.27 um     1.30 um     2.08 um  
   2.50 MeV   9.884E+01  9.851E-02   17.66 um     1.45 um     2.34 um  
   2.75 MeV   9.473E+01  9.106E-02   20.16 um     1.60 um     2.60 um  
   3.00 MeV   9.102E+01  8.474E-02   22.77 um     1.75 um     2.88 um  
   3.25 MeV   8.766E+01  7.929E-02   25.49 um     1.90 um     3.16 um  
   3.50 MeV   8.461E+01  7.455E-02   28.31 um     2.06 um     3.45 um  
   3.75 MeV   8.181E+01  7.038E-02   31.23 um     2.21 um     3.75 um  
   4.00 MeV   7.924E+01  6.668E-02   34.26 um     2.37 um     4.05 um  
   4.50 MeV   7.466E+01  6.041E-02   40.59 um     2.76 um     4.67 um  
   5.00 MeV   7.069E+01  5.528E-02   47.31 um     3.15 um     5.32 um  
   5.50 MeV   6.721E+01  5.101E-02   54.39 um     3.55 um     6.00 um  
   6.00 MeV   6.413E+01  4.739E-02   61.84 um     3.94 um     6.70 um  
   6.50 MeV   6.138E+01  4.427E-02   69.63 um     4.34 um     7.42 um  
