# Track Density for 10 um OD (tracks/cm^2)	$\chi$	F1	F2	F3	F4+
2.0565e+04	6.4607e-02	9.3726e-01	6.0759e-02	1.9837e-03	0.0000e+00
2.1544e+04	6.7684e-02	9.3689e-01	6.0491e-02	2.4567e-03	1.6514e-04
2.2570e+04	7.0906e-02	9.3315e-01	6.4366e-02	2.4550e-03	2.4691e-05
2.3645e+04	7.4283e-02	9.2911e-01	6.7893e-02	2.8537e-03	1.3960e-04
2.4771e+04	7.7820e-02	9.2758e-01	6.9585e-02	2.8353e-03	0.0000e+00
2.5950e+04	8.1525e-02	9.2491e-01	7.1991e-02	3.0791e-03	2.1277e-05
2.7186e+04	8.5407e-02	9.2197e-01	7.5172e-02	2.7736e-03	8.2474e-05
2.8480e+04	8.9474e-02	9.1756e-01	7.9033e-02	3.2648e-03	1.3714e-04
2.9836e+04	9.3734e-02	9.1198e-01	8.4221e-02	3.7457e-03	5.4882e-05
3.1257e+04	9.8197e-02	9.0745e-01	8.7698e-02	4.7304e-03	1.2447e-04
3.2745e+04	1.0287e-01	9.0310e-01	9.2487e-02	4.2538e-03	1.5683e-04
3.4305e+04	1.0777e-01	8.9967e-01	9.4813e-02	5.2724e-03	2.4227e-04
3.5938e+04	1.1290e-01	8.9321e-01	1.0075e-01	5.8732e-03	1.6854e-04
3.7649e+04	1.1828e-01	8.8883e-01	1.0418e-01	6.8425e-03	1.4638e-04
3.9442e+04	1.2391e-01	8.8438e-01	1.0835e-01	6.9708e-03	3.0783e-04
4.1320e+04	1.2981e-01	8.8036e-01	1.1305e-01	6.2345e-03	3.5428e-04
4.3288e+04	1.3599e-01	8.7420e-01	1.1711e-01	8.3189e-03	3.7520e-04
4.5349e+04	1.4247e-01	8.6876e-01	1.2194e-01	8.7813e-03	5.2150e-04
4.7508e+04	1.4925e-01	8.6235e-01	1.2779e-01	9.4603e-03	4.0046e-04
4.9770e+04	1.5636e-01	8.5772e-01	1.3129e-01	1.0459e-02	5.2934e-04
5.2140e+04	1.6380e-01	8.5149e-01	1.3704e-01	1.0850e-02	6.1699e-04
5.4623e+04	1.7160e-01	8.4543e-01	1.4254e-01	1.1328e-02	7.0300e-04
5.7224e+04	1.7977e-01	8.3225e-01	1.5385e-01	1.2943e-02	9.5024e-04
5.9948e+04	1.8833e-01	8.3131e-01	1.5315e-01	1.4237e-02	1.3114e-03
6.2803e+04	1.9730e-01	8.2298e-01	1.6007e-01	1.6007e-02	9.4070e-04
6.5793e+04	2.0670e-01	8.1406e-01	1.6745e-01	1.7465e-02	1.0262e-03
6.8926e+04	2.1654e-01	8.0540e-01	1.7447e-01	1.8570e-02	1.5544e-03
7.2208e+04	2.2685e-01	8.0050e-01	1.7830e-01	1.9495e-02	1.7009e-03
7.5646e+04	2.3765e-01	7.8831e-01	1.8745e-01	2.2184e-02	2.0568e-03
7.9248e+04	2.4897e-01	7.8133e-01	1.9307e-01	2.3753e-02	1.8408e-03
8.3022e+04	2.6082e-01	7.7076e-01	2.0043e-01	2.6359e-02	2.4520e-03
8.6975e+04	2.7324e-01	7.6093e-01	2.0833e-01	2.8115e-02	2.6206e-03
9.1116e+04	2.8625e-01	7.5075e-01	2.1528e-01	3.0841e-02	3.1250e-03
9.5455e+04	2.9988e-01	7.4036e-01	2.2392e-01	3.2371e-02	3.3524e-03
1.0000e+05	3.1416e-01	7.3064e-01	2.2933e-01	3.6037e-02	3.9978e-03
1.0000e+05	3.1416e-01	7.2710e-01	2.3025e-01	3.8225e-02	4.4156e-03
1.1994e+05	3.7679e-01	6.8049e-01	2.6329e-01	4.9782e-02	6.4333e-03
1.4384e+05	4.5190e-01	6.3885e-01	2.8665e-01	6.3762e-02	1.0742e-02
1.7252e+05	5.4199e-01	5.7701e-01	3.2103e-01	8.4074e-02	1.7887e-02
2.0691e+05	6.5004e-01	5.2257e-01	3.4003e-01	1.0966e-01	2.7738e-02
2.4816e+05	7.7963e-01	4.6304e-01	3.5744e-01	1.3414e-01	4.5378e-02
2.9764e+05	9.3505e-01	3.9672e-01	3.6131e-01	1.7178e-01	7.0191e-02
3.5697e+05	1.1215e+00	3.2741e-01	3.6396e-01	2.0442e-01	1.0421e-01
4.2813e+05	1.3450e+00	2.6228e-01	3.5200e-01	2.3339e-01	1.5232e-01
5.1348e+05	1.6132e+00	1.9943e-01	3.2181e-01	2.6087e-01	2.1790e-01
6.1585e+05	1.9347e+00	1.4647e-01	2.7753e-01	2.6970e-01	3.0629e-01
7.3862e+05	2.3204e+00	9.8900e-02	2.2532e-01	2.6534e-01	4.1044e-01
8.8587e+05	2.7830e+00	6.1081e-02	1.7168e-01	2.4355e-01	5.2370e-01
1.0625e+06	3.3378e+00	3.4769e-02	1.2008e-01	1.9893e-01	6.4623e-01
1.2743e+06	4.0033e+00	1.8146e-02	7.3065e-02	1.4725e-01	7.6153e-01
1.5283e+06	4.8013e+00	8.2817e-03	3.9919e-02	9.4226e-02	8.5757e-01
1.8330e+06	5.7585e+00	3.0949e-03	1.7918e-02	5.1572e-02	9.2742e-01
2.1984e+06	6.9065e+00	1.0228e-03	6.8895e-03	2.3833e-02	9.6825e-01
2.6367e+06	8.2833e+00	2.5691e-04	2.0112e-03	8.6697e-03	9.8906e-01
3.1623e+06	9.9346e+00	6.1473e-05	5.1807e-04	2.3059e-03	9.9711e-01
